Designator,Mid X,Mid Y,Rotation,Layer
C1,111.9,-86.047,180.0,bottom
C10,101.32,-78.867,270.0,bottom
C11,111.93,-89.687,0.0,bottom
C12,110.97,-87.587,270.0,bottom
C13,117.718,-84.709,270.0,bottom
C14,99.49,-82.757,90.0,bottom
C15,103.71,-82.737,90.0,bottom
C16,101.59,-82.737,90.0,bottom
C17,95.18,-92.583,0.0,bottom
C18,95.123,-89.916,0.0,bottom
C19,95.16,-86.995,0.0,bottom
C2,107.569,-74.041,0.0,bottom
C20,95.16,-84.328,0.0,bottom
C21,127.381,-74.6887,0.0,bottom
C22,127.381,-72.009,0.0,bottom
C23,96.929,-127.762,0.0,top
C26,110.961,-132.739,0.0,top
C27,102.42,-132.84,0.0,top
C28,113.93,-109.86,180.0,top
C29,114.79,-128.01,180.0,top
C3,118.237,-71.723,90.0,bottom
C30,114.24,-130.02,270.0,top
C31,105.75,-130.47,270.0,top
C32,112.83,-108.026,180.0,top
C33,111.0,-122.31,90.0,top
C34,111.53,-106.266,180.0,top
C35,112.14,-122.31,90.0,top
C36,110.215,-103.146,180.0,top
C37,109.19,-104.84,270.0,top
C38,103.24,-104.84,270.0,top
C39,102.11,-104.84,270.0,top
C4,114.935,-71.723,90.0,bottom
C40,108.0724,-104.84,270.0,top
C41,101.09,-103.154,180.0,top
C42,100.655438,-122.33,90.0,top
C43,105.67,-104.85,270.0,top
C44,99.961,-106.284,180.0,top
C45,99.525438,-122.34,90.0,top
C46,98.681,-108.024,180.0,top
C47,123.79,-103.11,180.0,top
C48,97.61,-109.925,180.0,top
C49,122.809,-99.187,270.0,top
C5,118.753,-77.597,90.0,bottom
C50,93.96,-125.94,180.0,top
C51,97.536,-139.827,180.0,top
C52,97.663,-141.986,180.0,top
C53,101.6,-140.716,90.0,top
C6,107.5,-77.827,0.0,bottom
C7,107.48,-75.565,0.0,bottom
C8,117.348,-78.105,180.0,bottom
C9,107.5,-76.708,0.0,bottom
D1,121.92,-70.58,90.0,bottom
D2,122.047,-70.517,270.0,top
FB1,130.302,-74.549,90.0,bottom
FB2,111.887,-68.199,270.0,top
FB3,84.328,-75.184,90.0,top
FB4,110.871,-134.747,180.0,top
FB5,124.46,-100.965,270.0,top
FB6,102.616,-138.684,180.0,top
FB7,118.872,-126.365,0.0,top
FB8,97.409,-126.238,180.0,top
FID1,78.74,-55.9054,0.0,top
FID2,125.2728,-50.292,0.0,top
FID3,78.8416,-139.065,0.0,top
FID4,132.2578,-139.065,0.0,top
FID5,125.27,-50.31,0.0,bottom
FID6,78.75,-55.9,0.0,bottom
FID7,132.26,-139.06,0.0,bottom
FID8,78.85,-139.07,0.0,bottom
J1,128.56,-83.439,270.0,bottom
J6,100.1924,-144.251001,180.0,bottom
L1,103.8,-89.082,0.0,bottom
R1,119.253,-83.058,0.0,bottom
R10,117.338,-80.645,180.0,bottom
R11,110.19,-76.757,180.0,bottom
R12,112.52,-92.037,180.0,bottom
R13,119.258,-85.344,180.0,bottom
R14,119.258,-84.201,0.0,bottom
R15,93.08,-78.337,0.0,bottom
R16,89.281,-51.943,270.0,bottom
R17,120.38,-113.26,270.0,top
R19,123.21,-118.98,180.0,top
R20,91.821,-51.943,270.0,bottom
R21,121.5,-103.71,180.0,top
R22,93.38,-124.36,90.0,top
R23,94.52,-124.36,270.0,top
R24,94.07,-135.71,0.0,top
R25,103.251,-141.224,180.0,top
R26,94.361,-52.07,270.0,top
R27,96.901,-52.07,270.0,top
R5,117.348,-83.058,0.0,bottom
R6,117.348,-79.375,180.0,bottom
R8,117.356,-77.089,180.0,bottom
R9,110.18,-77.817,180.0,bottom
T1,113.245,-81.677,0.0,bottom
U1,130.086918,-91.558416,0.0,bottom
U10,93.895,-129.99,180.0,top
U11,98.22,-60.482,270.0,bottom
U2,110.49,-81.417,90.0,bottom
U5,110.981,-130.229,180.0,top
U6,102.53,-130.47,180.0,top
U7,114.73,-125.22,90.0,top
U8,105.610562,-116.546,0.0,bottom
U9,118.29,-100.13,270.0,top
